code,sender,target,timeframe,goals,democratisation,main goal(s),measures,eco,multi,intensity,gradualism,source,
UN_AFG_99,UN,Afghanistan,1999-2002,surrender Bin-Laden,N,TR,"FB, AE, FS, VB",1,2,4,1,HSE,
EU_DZA_92,EU,Algeria,1992-1994,"restore “fundamental freedoms"" and cease violence",Y,"DM, PC",AS,1,0,3,0,HSE,
US_AZE_92,US,Azerbaijan,1992-2002,"""cease the offensive use of force and lifts its embargoes against Armenia""",N,PC,AS,1,0,3,0,"USAID, HSE",
EU_BLR_98,EU,Belarus,1998-1999,"""measures (taken by Belarus) constitute an infringement of the Vienna Convention and are contrary to the principles of friendly relations among States"" (treatment of diplomats)",N,OT,VB,0,0,1,0,EU Common Position; Portela,
EU_BLR_00,EU,Belarus,2000-ongoing,"""Belarus' political, social and economic progress towards a democratic state respecting the rule of law and human rights"" (free elections, reform of electoral code)",Y,DM,"VB, AF, DS, AE",1,1,2,1,EU Common Position; Portela,
US_BLR_04,US,Belarus,2004-ongoing,"""The United States does not accept the results of the election."" (free elections)",Y,DM,"VB, AF, AS",1,1,3,1,"S. McClellan, White House spokesperson; HSE",
EU_BIH_92,EU,Bosnia and Herzegovina,1992-2006,contribute to the stabilisation of the security environment' ,N,PC,AE,1,2,2,0,"EU Common Position, SIPRI Dataset, end: EU common position 2006/29/CFSP, orginal imposition agains FRY 5.7.1991",
UN_BIH_92,UN,Bosnia and Herzegovina,1992-1996,end fighting,N,PC,AE,1,2,2,0,HSE,
US_BDI_96,US,Burundi,1996-2005,"""Convince the coup leaders that they have no alternative but to halt the fighting and initiate a political dialogue"" ",Y,"PC, DM",AS,1,0,3,0,US State Department,
US_CMR_92,US,Cameroon,1992-1998,"improvements in human rights, problems arising from November 1992 elections",Y,"DM, HR","AS, AE",1,0,3,0,HSE,
EU_CAF_03,EU,Central African Republic,2003-2005,"""condemns the military coup d'etat"", ""deplores the loss of human lives "", ""(urges CAR authorities to) resume the political dialogue which is the means of returning to the path of reconciliation, democracy and national reconstruction"" free elections",Y,"DM, HR",AS,1,1,3,0,Portela,
US_CAF_03,US,Central African Republic,2003-2005,"""begin a process of national reconciliation that will lead to a democratic government in the CAR"" (free elections)",Y,"PC, DM",IM,0,1,2,0,"R. Boucher, US State Department; HSE",
US_CHN_89,US,China,1989-ongoing,"Tiananmen square sanctions; President Bush: ""continue to work for restraint and for human rights and for democracy""",Y,"DM, HR",AE,1,1,2,0,"CRS Report for Congress: China: Economic Sanctions, 18 May 2005; HSE",
EU_CHN_89,EU ,China,1989-ongoing,"""stop executions and repressive actions against those who legitimately claim their democratic right; respect human rights"" (cease repression)",Y,"DM, HR",AE,1,1,2,0,EU; Portela,
US_COL_96,US,Colombia,1996-1998,"counternarcotics action, investigate high-level corruption or allow extradition'",N,NR,"FS, AS, AE, IM",1,0,4,0,HSE,
EU_COM_99,EU,Comoros,1999-2000,"""clearly condemns the intervention of the Comoros Army"", ""release President Massounde and Prime Minister Djoussouf"" (free elections)",Y,DM,AS,1,0,3,0,Declaration of EU Presidency; Portela,
US_CIV_99,US,Côte d'Ivoire,1999-2002,"""prompt return to elected civilian government through free and fair elections""",Y,DM,"AE, AS",1,1,3,1,HSE,
EU_CIV_00,EU,Côte d'Ivoire,2000-2002,"""restore peacefully and rapidly democratic constitutional rule"", ""respect human rights and to guarantee security during the transition period"" (free elections)",Y,"DM, HR",AS,1,1,3,0,EU; Portela,
UN_CIV_04,UN,Côte d'Ivoire,2004-ongoing,"""cease-fire, implementation of peace accords, stop incitement of violence"" ",Y,"PC, DM","AE, VB, AF, CE",1,2,4,0,"UNSC Res, Charron (2011), HSE",
